id,nome_file_codice,nome_file_test,path_file_codice,path_file_test,linguaggio,source
python_acronym_exercism_solutions,acronym.py,acronym_testSuite.py,python/acronym/acronym.py,python/acronym/acronym_testSuite.py,python,exercism_solutions
python_anagram_exercism_solutions,anagram.py,anagram_testSuite.py,python/anagram/anagram.py,python/anagram/anagram_testSuite.py,python,exercism_solutions
python_armstrong-numbers_exercism_solutions,armstrong-numbers.py,armstrong-numbers_testSuite.py,python/armstrong-numbers/armstrong-numbers.py,python/armstrong-numbers/armstrong-numbers_testSuite.py,python,exercism_solutions
python_bank-account_exercism_solutions,bank-account.py,bank-account_testSuite.py,python/bank-account/bank-account.py,python/bank-account/bank-account_testSuite.py,python,exercism_solutions
python_bob_exercism_solutions,bob.py,bob_testSuite.py,python/bob/bob.py,python/bob/bob_testSuite.py,python,exercism_solutions
python_card-games_exercism_solutions,card-games.py,card-games_testSuite.py,python/card-games/card-games.py,python/card-games/card-games_testSuite.py,python,exercism_solutions
python_chaitanas-colossal-coaster_exercism_solutions,chaitanas-colossal-coaster.py,chaitanas-colossal-coaster_testSuite.py,python/chaitanas-colossal-coaster/chaitanas-colossal-coaster.py,python/chaitanas-colossal-coaster/chaitanas-colossal-coaster_testSuite.py,python,exercism_solutions
python_clock_exercism_solutions,clock.py,clock_testSuite.py,python/clock/clock.py,python/clock/clock_testSuite.py,python,exercism_solutions
python_collatz-conjecture_exercism_solutions,collatz-conjecture.py,collatz-conjecture_testSuite.py,python/collatz-conjecture/collatz-conjecture.py,python/collatz-conjecture/collatz-conjecture_testSuite.py,python,exercism_solutions
python_currency-exchange_exercism_solutions,currency-exchange.py,currency-exchange_testSuite.py,python/currency-exchange/currency-exchange.py,python/currency-exchange/currency-exchange_testSuite.py,python,exercism_solutions
python_difference-of-squares_exercism_solutions,difference-of-squares.py,difference-of-squares_testSuite.py,python/difference-of-squares/difference-of-squares.py,python/difference-of-squares/difference-of-squares_testSuite.py,python,exercism_solutions
python_ghost-gobble-arcade-game_exercism_solutions,ghost-gobble-arcade-game.py,ghost-gobble-arcade-game_testSuite.py,python/ghost-gobble-arcade-game/ghost-gobble-arcade-game.py,python/ghost-gobble-arcade-game/ghost-gobble-arcade-game_testSuite.py,python,exercism_solutions
python_grade-school_exercism_solutions,grade-school.py,grade-school_testSuite.py,python/grade-school/grade-school.py,python/grade-school/grade-school_testSuite.py,python,exercism_solutions
python_grains_exercism_solutions,grains.py,grains_testSuite.py,python/grains/grains.py,python/grains/grains_testSuite.py,python,exercism_solutions
python_guidos-gorgeous-lasagna_exercism_solutions,guidos-gorgeous-lasagna.py,guidos-gorgeous-lasagna_testSuite.py,python/guidos-gorgeous-lasagna/guidos-gorgeous-lasagna.py,python/guidos-gorgeous-lasagna/guidos-gorgeous-lasagna_testSuite.py,python,exercism_solutions
python_hamming_exercism_solutions,hamming.py,hamming_testSuite.py,python/hamming/hamming.py,python/hamming/hamming_testSuite.py,python,exercism_solutions
python_high-scores_exercism_solutions,high-scores.py,high-scores_testSuite.py,python/high-scores/high-scores.py,python/high-scores/high-scores_testSuite.py,python,exercism_solutions
python_isbn-verifier_exercism_solutions,isbn-verifier.py,isbn-verifier_testSuite.py,python/isbn-verifier/isbn-verifier.py,python/isbn-verifier/isbn-verifier_testSuite.py,python,exercism_solutions
python_isogram_exercism_solutions,isogram.py,isogram_testSuite.py,python/isogram/isogram.py,python/isogram/isogram_testSuite.py,python,exercism_solutions
python_kindergarten-garden_exercism_solutions,kindergarten-garden.py,kindergarten-garden_testSuite.py,python/kindergarten-garden/kindergarten-garden.py,python/kindergarten-garden/kindergarten-garden_testSuite.py,python,exercism_solutions
python_little-sisters-essay_exercism_solutions,little-sisters-essay.py,little-sisters-essay_testSuite.py,python/little-sisters-essay/little-sisters-essay.py,python/little-sisters-essay/little-sisters-essay_testSuite.py,python,exercism_solutions
python_little-sisters-vocab_exercism_solutions,little-sisters-vocab.py,little-sisters-vocab_testSuite.py,python/little-sisters-vocab/little-sisters-vocab.py,python/little-sisters-vocab/little-sisters-vocab_testSuite.py,python,exercism_solutions
python_luhn_exercism_solutions,luhn.py,luhn_testSuite.py,python/luhn/luhn.py,python/luhn/luhn_testSuite.py,python,exercism_solutions
python_making-the-grade_exercism_solutions,making-the-grade.py,making-the-grade_testSuite.py,python/making-the-grade/making-the-grade.py,python/making-the-grade/making-the-grade_testSuite.py,python,exercism_solutions
python_markdown_exercism_solutions,markdown.py,markdown_testSuite.py,python/markdown/markdown.py,python/markdown/markdown_testSuite.py,python,exercism_solutions
python_matrix_exercism_solutions,matrix.py,matrix_testSuite.py,python/matrix/matrix.py,python/matrix/matrix_testSuite.py,python,exercism_solutions
python_pangram_exercism_solutions,pangram.py,pangram_testSuite.py,python/pangram/pangram.py,python/pangram/pangram_testSuite.py,python,exercism_solutions
python_perfect-numbers_exercism_solutions,perfect-numbers.py,perfect-numbers_testSuite.py,python/perfect-numbers/perfect-numbers.py,python/perfect-numbers/perfect-numbers_testSuite.py,python,exercism_solutions
python_phone-number_exercism_solutions,phone-number.py,phone-number_testSuite.py,python/phone-number/phone-number.py,python/phone-number/phone-number_testSuite.py,python,exercism_solutions
python_protein-translation_exercism_solutions,protein-translation.py,protein-translation_testSuite.py,python/protein-translation/protein-translation.py,python/protein-translation/protein-translation_testSuite.py,python,exercism_solutions
python_raindrops_exercism_solutions,raindrops.py,raindrops_testSuite.py,python/raindrops/raindrops.py,python/raindrops/raindrops_testSuite.py,python,exercism_solutions
python_robot-name_exercism_solutions,robot-name.py,robot-name_testSuite.py,python/robot-name/robot-name.py,python/robot-name/robot-name_testSuite.py,python,exercism_solutions
python_rotational-cipher_exercism_solutions,rotational-cipher.py,rotational-cipher_testSuite.py,python/rotational-cipher/rotational-cipher.py,python/rotational-cipher/rotational-cipher_testSuite.py,python,exercism_solutions
python_scrabble-score_exercism_solutions,scrabble-score.py,scrabble-score_testSuite.py,python/scrabble-score/scrabble-score.py,python/scrabble-score/scrabble-score_testSuite.py,python,exercism_solutions
python_series_exercism_solutions,series.py,series_testSuite.py,python/series/series.py,python/series/series_testSuite.py,python,exercism_solutions
python_square-root_exercism_solutions,square-root.py,square-root_testSuite.py,python/square-root/square-root.py,python/square-root/square-root_testSuite.py,python,exercism_solutions
python_triangle_exercism_solutions,triangle.py,triangle_testSuite.py,python/triangle/triangle.py,python/triangle/triangle_testSuite.py,python,exercism_solutions
python_twelve-days_exercism_solutions,twelve-days.py,twelve-days_testSuite.py,python/twelve-days/twelve-days.py,python/twelve-days/twelve-days_testSuite.py,python,exercism_solutions
python_two-fer_exercism_solutions,two-fer.py,two-fer_testSuite.py,python/two-fer/two-fer.py,python/two-fer/two-fer_testSuite.py,python,exercism_solutions
python_word-count_exercism_solutions,word-count.py,word-count_testSuite.py,python/word-count/word-count.py,python/word-count/word-count_testSuite.py,python,exercism_solutions
python_a0000blank_pyleet_solutions,a0000blank.py,a0000blank_testSuite.py,python/a0000blank/a0000blank.py,python/a0000blank/a0000blank_testSuite.py,python,pyleet_solutions
